id,kabkot,region,province,acuan,distric_na,gdp,un,cru_temp,cru_prec,section,Wgdp,g_gdp,d_un,group_id,yhat_2
1101,Kabupaten Simeulue,Sumatera,Aceh,Simeulue,Simeulue,1601,5.4699998,28.059839,264.88196,West,4302.7334,0.12507817,-0.35000038,G4,-0.21917559
1102,Kabupaten Aceh Singkil,Sumatera,Aceh,Aceh Singkil,Aceh Singkil,1712,8.2399998,27.52906,254.78162,West,3964.0703,-1.1547344,-0.34000015,G2,-2.332726
1103,Kabupaten Aceh Selatan,Sumatera,Aceh,Aceh Selatan,Aceh Selatan,4240,6.54,25.910521,246.76088,West,2072.2502,-0.070704691,0,G3,0.19620681
1104,Kabupaten Aceh Tenggara,Sumatera,Aceh,Aceh Tenggara,Aceh Tenggara,3437,5.7199998,25.343292,233.92862,West,8114.1201,-0.17426662,2.2699997,G2,-1.9726888
1105,Kabupaten Aceh Timur,Sumatera,Aceh,Aceh Timur,Aceh Timur,8286,7.2600002,27.221796,202.46291,West,7175.5029,1.7936118,-0.3499999,G3,0.10313003
1106,Kabupaten Aceh Tengah,Sumatera,Aceh,Aceh Tengah,Aceh Tengah,5767,3.05,24.894711,202.05345,West,6445.5386,-1.21617,0.39999986,G2,-2.3552859
1107,Kabupaten Aceh Barat,Sumatera,Aceh,Aceh Barat,Aceh Barat,7078,7.3000002,26.276218,319.72824,West,5775.1885,1.871042,-0.10999966,G4,-0.16637707
1108,Kabupaten Aceh Besar,Sumatera,Aceh,Aceh Besar,Aceh Besar,10002,7.6199999,26.874453,298.37863,West,4459.064,0.31090161,-0.050000191,G3,0.17715496
1109,Kabupaten Pidie,Sumatera,Aceh,Pidie,Pidie,7769,6.4499998,25.983578,260.39783,West,3431.3418,-0.14138818,-0.38000011,G1,3.9579158
1110,Kabupaten Bireuen,Sumatera,Aceh,Bireuen,Bireuen,9961,4.1199999,27.624821,197.36578,West,4310.978,-0.93485826,0.28999996,G4,-0.25122842
