Variable,Label
KDJ,Code
KABKOT,District name Indonesian
Region,Region
Province,Province name
acuan,acuan
Distric_Na,District name (without kabkot
id_1,ID
gdp2008,GDP 2008
un2008,UN 2008
cru_t_2008,temperature 2008
cru_p_2008,percipitation 2008
gdp2009,GDP 2009
un2009,UN 2009
cru_t_2009,temperature 2009
cru_p_2009,percipitation 2009
gdp2010,GDP 2010
un2010,UN 2010
cru_t_2010,temperature 2010
cru_p_2010,percipitation 2010
gdp2011,GDP 2011
un2011,UN 2011
cru_t_2011,temperature 2011
cru_p_2011,percipitation 2011
gdp2012,GDP 2012
un2012,UN 2012
cru_t_2012,temperature 2012
cru_p_2012,percipitation 2012
gdp2013,GDP 2013
un2013,UN 2013
cru_t_2013,temperature 2013
cru_p_2013,percepitation 2013
gdp2014,GDP 2014
un2014,UN 2014
cru_t_2014,temperature 2014
cru_p_2014,percepitation 2014
gdp2015,GDP 2015
un2015,UN 2015
cru_t_2015,temperature 2015
cru_p_2015,percepitation 2015
gdp2016,GDP 2016
un2016,UN 2016
cru_t_2016,temperature 2016
cru_p_2016,percepitation 2016
gdp2017,GDP 2017
un2017,UN 2017
cru_t_2017,temperature 2017
cru_p_2017,percepitation 2017
gdp2018,GDP 2018
un2018,UN 2018
cru_t_2018,temperature 2018
cru_p_2018,percipitation 2018
gdp2019,GDP 2019
un2019,UN 2019
cru_t_2019,temperature 2019
cru_p_2019,percipitation 2019
gdp2020,GDP 2020
un2020,UN 2020
cru_t_2020,temperature 2020
cru_p_2020,percipitation 2020
GDP,GDP
island,Island
section,Section
geometry,Geometry
